t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
5.9000,8.45166,5.83079,0.51333,8.42557,5.81468,0.49914,8.42871,5.81078,0.48854,8.537516e-03,6.229415e-03,4.876556e-04,1.07800,0.27578,0.56609,12,4.78588
5.9500,8.50131,5.85878,0.51333,8.47902,5.84382,0.50749,8.48141,5.84127,0.49888,8.589478e-03,6.270322e-03,4.876556e-04,1.21750,0.16701,0.53757,7,5.08455
6.0000,8.55096,5.88677,0.51334,8.52877,5.87148,0.49941,8.53335,5.86494,0.48712,8.640267e-03,6.308167e-03,4.876557e-04,1.13850,-0.16167,0.41536,7,4.93480
6.0500,8.60062,5.91476,0.51334,8.58083,5.89988,0.48053,8.58395,5.89599,0.47163,8.691878e-03,6.347752e-03,4.876557e-04,1.18600,-0.37754,0.53784,11,4.62133
6.1000,8.65027,5.94275,0.51334,8.62916,5.92508,0.49838,8.63072,5.92403,0.49285,8.742654e-03,6.382977e-03,4.876558e-04,1.09000,0.35690,0.55867,8,4.79641
6.1500,8.69992,5.97075,0.51334,8.68300,5.95438,0.49007,8.68197,5.95810,0.48975,8.794638e-03,6.424361e-03,4.876558e-04,1.22600,-0.16617,0.59124,9,4.72787
6.2000,8.74958,5.99874,0.51334,8.72807,5.97842,0.49345,8.72497,5.98594,0.49707,8.844199e-03,6.457122e-03,4.876559e-04,1.02150,0.06763,0.57393,7,4.93896
6.2500,8.79923,6.02673,0.51335,8.77494,6.00363,0.48230,8.77164,6.01153,0.48613,8.894116e-03,6.491853e-03,4.876559e-04,1.06450,-0.22301,0.49024,9,4.81963
6.3000,8.84888,6.05472,0.51335,8.82152,6.02801,0.45887,8.81697,6.03821,0.46489,8.944127e-03,6.525791e-03,4.876559e-04,1.05150,-0.46859,0.50771,7,4.97250
6.3500,8.89853,6.08271,0.51335,8.86845,6.05120,0.44023,8.86231,6.06437,0.44906,8.994557e-03,6.559048e-03,4.876560e-04,1.04700,-0.37283,0.50379,5,4.79881
6.4000,8.94819,6.11071,0.51335,8.92223,6.07654,0.44538,8.91354,6.09451,0.45869,9.046880e-03,6.597961e-03,4.876560e-04,1.18900,0.10295,0.54609,10,4.77030
6.4500,8.99784,6.13870,0.51335,8.97320,6.10087,0.44322,8.96451,6.11889,0.45589,9.098371e-03,6.634564e-03,4.876560e-04,1.12950,-0.04308,0.44341,5,4.92774
